Date,APTECHT.NS,ATFL.NS,FORTIS.NS,MCX.NS,TATACOMM.NS,TITAN.NS,TV18BRDCST.NS
25-09-2017,282.649994,506.100006,144,1039.150024,685.299988,584.549988,38.849998
02-10-2017,310.049988,530.549988,156.850006,1063.699951,709.049988,596.599976,40.549999
09-10-2017,311.899994,515.799988,151.800003,1133.550049,690.700012,625.150024,40.549999
16-10-2017,303.899994,515.5,146,1095.599976,702.650024,606.950012,39.700001
23-10-2017,298.850006,538,146,1067.400024,656.049988,590.049988,43.400002
30-10-2017,309.899994,554.5,142.699997,1012,689.400024,659.75,46.099998
06-11-2017,327.100006,535,134.449997,965.349976,700.950012,782.049988,45.150002
13-11-2017,307.549988,530.150024,129.949997,948.599976,701.099976,786.299988,45.700001
20-11-2017,376,524.049988,138.75,948.450012,693,829.299988,50.549999
27-11-2017,351.799988,615.900024,143.600006,960,680.450012,805.25,54.549999
04-12-2017,367.600006,633,146.850006,976.450012,679.650024,810.950012,57.349998
11-12-2017,366.850006,725.799988,135.649994,978.150024,686.900024,832.849976,53.75
18-12-2017,375.25,731.5,142.449997,944.150024,679,856.849976,61
25-12-2017,364.399994,711.650024,160.449997,911.549988,681.549988,858.150024,61.400002
01-01-2018,361.049988,747,163.300003,919.150024,672.200012,909.700012,63.599998
08-01-2018,373.5,737.299988,144.649994,941.799988,677.150024,903.799988,66.050003
15-01-2018,346.149994,687.5,145.449997,836.599976,633.849976,891.450012,59.450001
22-01-2018,348.549988,673.349976,157.300003,823.450012,619.25,884.099976,59.900002
29-01-2018,271.850006,638.950012,126.449997,736.349976,616.900024,822.200012,53.900002
05-02-2018,272.799988,645.549988,148.600006,721.650024,638.099976,796.799988,55.400002
12-02-2018,307.100006,636.549988,137.5,742.599976,640.049988,803.200012,54.900002
19-02-2018,325.100006,630.349976,159.949997,752.650024,639.150024,814.200012,58.450001
26-02-2018,314.75,654.299988,161.050003,770.599976,638.150024,810.200012,61.700001
05-03-2018,291.350006,624.950012,145.399994,742.450012,620,819.099976,62.799999
12-03-2018,307.399994,659.349976,155.899994,807.799988,624.150024,879.25,66.5
19-03-2018,279.950012,635.349976,143.5,706.5,617.150024,895.049988,63.299999
26-03-2018,258.899994,636.049988,123.349998,667.349976,620.150024,942.299988,67.099998
02-04-2018,273.049988,655.549988,138.800003,754.349976,654.849976,940.299988,68.599998
09-04-2018,275.049988,688.549988,152.050003,759.5,635,987.150024,67.349998
16-04-2018,289.25,781.75,149.649994,785.25,629.400024,956.549988,67.300003
23-04-2018,282.450012,723.75,153.899994,794.150024,621.150024,970,64.650002
30-04-2018,268.600006,714.5,157.949997,751.049988,617.150024,958.099976,61.549999
07-05-2018,264.049988,687.950012,148.25,766,636.099976,956.049988,59.349998
14-05-2018,231.300003,710.349976,144.5,752.200012,610.099976,939.950012,54.25
21-05-2018,226.100006,688.150024,145.050003,817.799988,631.799988,924.400024,55.599998
28-05-2018,244.300003,672.900024,145.800003,839.900024,601.799988,900,54.450001
04-06-2018,265.350006,676.049988,146.199997,830,604,896,54.349998
11-06-2018,267.649994,698.75,138.899994,808,610.599976,903.450012,57.700001
18-06-2018,250.899994,705.700012,139.199997,770.25,602,877.549988,57.349998
25-06-2018,252.399994,666.049988,134.850006,731.049988,592.75,878.5,52.75
02-07-2018,243.100006,659.25,138.5,754,590.599976,829.650024,47.799999
09-07-2018,246.649994,661.049988,147.800003,812.200012,601.150024,838.700012,46.599998
16-07-2018,242.600006,640.75,135.550003,798.450012,552.849976,860.400024,44.900002
23-07-2018,250.350006,642.849976,136.600006,829.299988,568.450012,884.099976,47.950001
30-07-2018,254,653.599976,145.949997,888.799988,586.650024,919.200012,47.900002
06-08-2018,236.550003,633.5,140.899994,852.450012,568.599976,920.099976,47.900002
13-08-2018,233.050003,617.700012,150.149994,855,553.849976,941.549988,48.450001
20-08-2018,231.25,608.5,149.399994,833.700012,542.5,885.349976,48.049999
27-08-2018,227.449997,651.799988,146.600006,828.099976,540,891.900024,46.049999
03-09-2018,213.850006,650.349976,146.350006,772.349976,527.450012,867.450012,42.849998
10-09-2018,200.699997,653.75,144.850006,800.349976,526.299988,842.599976,41.25
17-09-2018,174.550003,633.650024,137.25,753.299988,499.75,800.599976,39.400002
24-09-2018,165.350006,566.299988,134.949997,688.450012,500.5,805.599976,35.099998
01-10-2018,142.600006,525.599976,134.699997,672.200012,473.100006,792.099976,33.5
08-10-2018,132.699997,501.149994,134.100006,745.700012,484.649994,805.150024,35.150002
15-10-2018,159,516.849976,131.300003,774.700012,455.299988,788.700012,36.25
22-10-2018,145.350006,490.049988,129.25,724.400024,446.450012,806.900024,36.950001
29-10-2018,161.600006,518.450012,138.5,705.950012,490.600006,871,38.049999
