Date,Open,High,Low,Close,Adj Close,Volume
2017-02-27,433.000000,446.000000,425.750000,439.850006,428.603424,4488995
2017-03-06,440.700012,447.500000,434.600006,445.299988,433.914063,4410811
2017-03-13,445.299988,470.600006,445.299988,463.500000,451.648712,5171475
2017-03-20,465.950012,470.000000,441.899994,447.950012,436.496338,5674013
2017-03-27,446.000000,466.799988,440.750000,462.750000,450.917908,4699105
2017-04-03,459.500000,495.549988,455.799988,485.399994,472.988800,8470339
2017-04-10,484.750000,491.149994,473.600006,484.149994,471.770721,4911495
2017-04-17,484.399994,495.450012,468.049988,479.399994,467.142181,5287533
2017-04-24,476.000000,490.000000,468.200012,470.250000,458.226135,5541928
2017-05-01,470.250000,504.799988,470.250000,491.200012,478.640503,5112013
2017-05-08,490.100006,506.149994,464.299988,495.000000,482.343292,7585247
2017-05-15,489.649994,491.000000,460.350006,471.149994,459.103119,7898972
2017-05-22,474.000000,485.600006,460.100006,473.450012,461.344299,7422883
2017-05-29,471.799988,494.149994,462.450012,471.750000,459.687775,6488386
2017-06-05,511.000000,569.200012,505.000000,525.450012,512.014832,44866172
2017-06-12,541.900024,541.900024,511.399994,516.400024,503.196167,9619477
2017-06-19,515.250000,530.849976,507.649994,513.299988,500.175354,6837273
2017-06-26,513.299988,525.599976,500.600006,524.450012,511.040344,5999756
2017-07-03,536.049988,540.000000,526.000000,532.500000,518.884521,6976831
2017-07-10,533.000000,541.900024,523.200012,533.650024,520.005066,4515797
2017-07-17,535.500000,545.500000,526.700012,543.200012,529.310852,5278434
2017-07-24,545.299988,546.950012,524.400024,533.150024,519.517944,5142273
2017-07-31,533.799988,616.349976,528.849976,611.200012,598.436584,23206153
2017-08-07,608.000000,627.400024,601.599976,607.000000,594.324341,11660240
2017-08-14,611.000000,638.299988,611.000000,623.500000,610.479614,7360344
2017-08-21,623.650024,630.000000,602.200012,606.799988,594.128479,5523131
2017-08-28,603.700012,621.000000,598.650024,613.500000,600.688477,5674866
2017-09-04,610.000000,651.000000,606.500000,633.400024,620.172974,10660530
2017-09-11,637.000000,648.299988,622.650024,632.150024,618.949097,4957679
2017-09-18,635.099976,654.200012,600.000000,602.299988,589.722412,6317640
2017-09-25,603.700012,611.450012,563.650024,584.549988,572.343018,7841958
2017-10-02,584.549988,608.500000,584.549988,596.599976,584.141479,4627901
2017-10-09,620.000000,633.500000,607.599976,625.150024,612.095337,8355517
2017-10-16,622.049988,631.950012,601.000000,606.950012,594.275269,2391323
2017-10-23,601.500000,613.250000,582.099976,590.049988,577.728210,5475382
2017-10-30,589.200012,668.000000,589.200012,659.750000,645.972656,8324883
2017-11-06,725.700012,824.650024,725.700012,782.049988,765.718750,39086411
2017-11-13,780.000000,798.000000,745.000000,786.299988,769.880005,7309391
2017-11-20,791.099976,831.799988,778.000000,829.299988,811.982056,14865165
2017-11-27,838.900024,838.900024,798.500000,805.250000,788.434265,11324491
2017-12-04,805.150024,821.349976,770.000000,810.950012,794.015320,9099446
2017-12-11,813.000000,844.250000,805.099976,832.849976,815.457947,12277312
2017-12-18,830.000000,872.000000,802.000000,856.849976,838.956726,8391488
2017-12-25,856.849976,863.900024,840.599976,858.150024,840.229614,4429003
2018-01-01,857.700012,913.950012,840.599976,909.700012,890.703064,11326925
2018-01-08,911.000000,938.500000,892.450012,903.799988,884.926331,9608529
2018-01-15,909.000000,927.500000,862.500000,891.450012,872.834167,9901598
2018-01-22,890.000000,914.700012,876.750000,884.099976,865.637634,7456697
2018-01-29,887.400024,911.599976,784.150024,822.200012,805.030334,18871606
2018-02-05,810.000000,816.750000,752.700012,796.799988,780.160645,12739758
2018-02-12,803.000000,826.900024,796.549988,803.200012,786.427124,8145726
2018-02-19,805.000000,841.500000,790.000000,814.200012,797.197388,13338927
2018-02-26,819.950012,835.700012,805.000000,810.200012,793.280945,7087347
2018-03-05,810.000000,827.599976,799.049988,819.099976,801.994995,6618766
2018-03-12,824.000000,883.400024,822.400024,879.250000,860.888977,10702038
2018-03-19,879.700012,900.000000,860.099976,895.049988,876.359009,13701108
2018-03-26,896.450012,964.000000,896.450012,942.299988,922.622253,20107286
2018-04-02,943.099976,951.700012,902.000000,940.299988,920.664063,15117377
2018-04-09,950.000000,994.799988,947.049988,987.150024,966.535706,18694984
2018-04-16,986.000000,999.700012,947.049988,956.549988,936.574768,13401067
2018-04-23,960.000000,978.000000,948.599976,970.000000,949.743835,8063872
2018-04-30,970.500000,985.450012,951.000000,958.099976,938.092285,4655267
2018-05-07,962.000000,995.599976,952.000000,956.049988,936.085144,17316526
2018-05-14,960.000000,962.000000,909.250000,939.950012,920.321350,14301390
2018-05-21,940.599976,944.500000,904.049988,924.400024,905.096191,8169157
2018-05-28,928.000000,935.599976,890.150024,900.000000,881.205627,10346368
2018-06-04,906.000000,907.950012,853.299988,896.000000,877.289124,11880553
2018-06-11,897.000000,926.799988,896.000000,903.450012,884.583618,10761687
2018-06-18,904.000000,905.250000,859.000000,877.549988,859.224426,8451842
2018-06-25,878.000000,885.299988,826.049988,878.500000,860.154663,19842331
2018-07-02,883.099976,906.900024,813.000000,829.650024,812.324707,20240741
2018-07-09,834.900024,842.000000,799.650024,838.700012,821.185730,17505797
2018-07-16,839.000000,876.599976,816.099976,860.400024,842.432617,14738709
2018-07-23,859.000000,894.500000,845.200012,884.099976,865.637634,9181464
2018-07-30,882.799988,942.000000,880.799988,919.200012,903.944519,18074226
2018-08-06,928.700012,939.099976,896.750000,920.099976,904.829529,15018990
2018-08-13,915.000000,945.000000,910.549988,941.549988,925.923523,6615006
2018-08-20,942.000000,943.500000,882.500000,885.349976,870.656189,9850719
2018-08-27,894.000000,900.000000,871.549988,891.900024,877.097534,10652009
2018-09-03,896.849976,928.400024,851.650024,867.450012,853.053284,15541269
2018-09-10,864.000000,868.000000,790.150024,842.599976,828.615784,16553510
2018-09-17,834.799988,843.950012,779.200012,800.599976,787.312744,15782259
2018-09-24,801.799988,843.650024,773.349976,805.599976,792.229797,21289741
2018-10-01,800.000000,815.700012,760.299988,792.099976,778.953857,17902170
2018-10-08,792.000000,820.950012,732.299988,805.150024,791.787292,28019432
2018-10-15,805.200012,823.299988,782.500000,788.700012,775.610352,10449572
2018-10-22,793.400024,820.000000,766.150024,806.900024,793.508301,12486834
2018-10-29,813.000000,884.000000,807.650024,871.000000,856.544373,12350400
2018-11-05,870.000000,877.599976,840.200012,847.650024,833.581909,8267402
2018-11-12,857.000000,928.700012,843.200012,921.349976,906.058716,28505361
2018-11-19,922.000000,933.400024,908.849976,915.750000,900.551758,7117399
2018-11-26,913.099976,933.900024,892.599976,927.099976,911.713379,10407789
2018-12-03,932.549988,940.150024,893.299988,916.599976,901.387512,10666260
2018-12-10,905.000000,961.250000,894.150024,931.500000,916.040283,14936433
2018-12-17,931.750000,941.549988,897.250000,900.049988,885.112305,11348102
2018-12-24,900.099976,925.750000,868.200012,922.700012,907.386353,16623623
2018-12-31,926.000000,944.950012,920.200012,928.450012,913.041016,15287822
2019-01-07,950.000000,969.500000,934.099976,959.299988,943.378967,13479235
2019-01-14,958.000000,970.700012,949.000000,960.950012,945.001526,5907743
2019-01-21,960.099976,987.400024,955.900024,978.000000,961.768616,8639587
2019-01-28,978.000000,1005.000000,945.000000,991.549988,975.093689,10110349
2019-02-04,1025.000000,1076.849976,1009.049988,1053.250000,1035.769775,23019137
2019-02-11,1059.000000,1073.949951,1016.799988,1039.000000,1021.756165,10067870
2019-02-18,1040.099976,1049.800049,1021.299988,1041.599976,1024.313110,6600812
2019-02-25,1038.000000,1055.000000,1002.049988,1021.349976,1004.399109,12543755
2019-03-04,1021.349976,1069.000000,1016.200012,1053.199951,1035.720459,9099969
2019-03-11,1058.000000,1113.800049,1057.599976,1097.250000,1079.039429,14792936
2019-03-18,1105.000000,1124.400024,1092.099976,1102.550049,1084.251587,6683349
2019-03-25,1102.000000,1152.000000,1088.349976,1141.849976,1122.899170,9490507
2019-04-01,1140.000000,1148.000000,1094.300049,1106.400024,1088.037720,11298388
2019-04-08,1109.000000,1115.000000,1083.500000,1097.000000,1078.793579,7485301
2019-04-15,1102.000000,1129.500000,1088.000000,1125.400024,1106.722290,4870517
2019-04-22,1125.000000,1165.000000,1119.099976,1137.500000,1118.621460,8779557
2019-04-29,1137.500000,1161.750000,1133.500000,1145.050049,1126.046143,4134747
2019-05-06,1142.800049,1142.800049,1067.849976,1132.099976,1113.311157,17402110
2019-05-13,1125.300049,1203.000000,1122.949951,1190.500000,1170.741943,14280505
2019-05-20,1214.000000,1262.800049,1194.449951,1219.900024,1199.653931,12989637
2019-05-27,1226.500000,1250.650024,1203.500000,1235.750000,1215.240845,6406471
2019-06-03,1239.000000,1276.849976,1227.500000,1268.949951,1247.889771,6733628
2019-06-10,1274.650024,1298.250000,1266.800049,1281.900024,1260.624878,7363434
2019-06-17,1286.000000,1317.000000,1235.000000,1292.349976,1270.901367,9887182
2019-06-24,1302.000000,1337.050049,1291.050049,1334.699951,1312.548584,7897895
2019-07-01,1330.099976,1340.900024,1249.699951,1278.099976,1256.887939,10220347
2019-07-08,1260.000000,1270.900024,1071.400024,1101.199951,1082.923828,40843752
2019-07-15,1110.000000,1118.000000,1056.199951,1091.050049,1072.942383,14344942
2019-07-22,1087.900024,1112.199951,1062.099976,1106.400024,1088.037720,9500806
2019-07-29,1106.900024,1109.000000,1041.000000,1064.699951,1047.029663,11158230
2019-08-05,1059.500000,1077.000000,998.000000,1067.000000,1058.962524,22183479
2019-08-12,1067.000000,1090.849976,1051.050049,1075.800049,1067.696289,6494515
2019-08-19,1104.699951,1104.699951,1040.000000,1073.500000,1065.413574,7504968
2019-08-26,1094.699951,1131.500000,1061.650024,1105.099976,1096.775513,9685692
2019-09-02,1105.099976,1105.099976,1025.500000,1068.699951,1060.649658,7770136
2019-09-09,1065.000000,1126.500000,1058.400024,1123.400024,1114.937622,7926034
2019-09-16,1123.900024,1334.400024,1115.400024,1263.550049,1254.031982,17045786
2019-09-23,1275.199951,1345.000000,1262.800049,1284.050049,1274.377563,16598481
2019-09-30,1290.500000,1306.699951,1240.099976,1250.900024,1241.477295,7430508
2019-10-07,1255.099976,1265.800049,1177.050049,1243.599976,1234.232178,13090919
2019-10-14,1239.800049,1305.000000,1233.500000,1300.599976,1290.802856,6479955
2019-10-21,1300.599976,1389.949951,1294.500000,1319.900024,1309.957520,11482979
2019-10-28,1335.000000,1347.000000,1287.050049,1301.900024,1292.093140,7737400
2019-11-04,1311.000000,1311.000000,1150.000000,1156.750000,1148.036499,32178716
2019-11-11,1156.750000,1176.300049,1137.650024,1158.449951,1149.723633,8771182
2019-11-18,1160.150024,1170.000000,1123.199951,1135.599976,1127.045776,6899062
2019-11-25,1149.900024,1184.750000,1143.099976,1159.699951,1150.964111,10159996
