Date,Open,High,Low,Close,Adj Close,Volume
2016-06-13,998.000000,1023.700012,974.950012,999.400024,923.336914,812823
2016-06-20,985.000000,997.900024,917.950012,959.950012,886.889404,491315
2016-06-27,959.950012,1048.500000,955.000000,1008.950012,932.160156,1493009
2016-07-04,1013.000000,1075.000000,1004.549988,1065.099976,984.036560,1055025
2016-07-11,1078.000000,1098.800049,1010.000000,1018.650024,941.121826,752564
2016-07-18,1020.000000,1104.000000,990.000000,1082.000000,999.650391,1291543
2016-07-25,1084.000000,1114.000000,1025.000000,1054.050049,973.827637,1125913
2016-08-01,1055.099976,1063.849976,1009.299988,1019.900024,942.276794,1070696
2016-08-08,1024.400024,1026.500000,966.400024,1003.099976,926.755310,782458
2016-08-15,1003.099976,1009.000000,985.000000,992.099976,916.592529,259772
2016-08-22,999.900024,1013.599976,982.000000,986.200012,911.141602,540396
2016-08-29,985.000000,1020.799988,975.000000,998.950012,922.921143,780332
2016-09-05,998.950012,1005.799988,950.000000,951.700012,879.267273,685665
2016-09-12,943.900024,992.049988,925.000000,976.700012,908.342346,827640
2016-09-19,979.950012,1079.000000,979.950012,1048.150024,974.791748,2362826
2016-09-26,1060.000000,1399.000000,1034.000000,1351.250000,1256.678223,13322809
2016-10-03,1395.000000,1420.000000,1247.150024,1297.250000,1206.457642,4217194
2016-10-10,1302.000000,1354.000000,1276.000000,1345.150024,1251.005127,1858885
2016-10-17,1350.000000,1376.349976,1287.000000,1292.250000,1201.807617,1483388
2016-10-24,1300.000000,1322.900024,1245.750000,1285.750000,1195.762451,857440
2016-10-31,1285.750000,1394.699951,1245.250000,1332.699951,1239.426514,2117187
2016-11-07,1355.150024,1399.750000,1151.250000,1301.800049,1210.689209,2355264
2016-11-14,1301.800049,1325.000000,1214.000000,1295.199951,1204.551025,1497111
2016-11-21,1307.000000,1308.800049,1210.000000,1241.449951,1154.562988,1184020
2016-11-28,1247.699951,1282.800049,1182.099976,1196.750000,1112.991455,1140148
2016-12-05,1195.900024,1413.000000,1185.349976,1329.849976,1236.776001,5324020
2016-12-12,1331.699951,1360.000000,1284.000000,1312.599976,1220.733276,1635056
2016-12-19,1308.949951,1319.900024,1235.099976,1253.250000,1165.537109,665722
2016-12-26,1241.300049,1288.000000,1202.250000,1267.500000,1178.789795,1187709
2017-01-02,1270.000000,1305.000000,1233.099976,1253.199951,1165.490601,1350463
2017-01-09,1261.000000,1262.099976,1184.000000,1201.400024,1117.315918,1788665
2017-01-16,1218.900024,1234.000000,1146.000000,1194.449951,1110.852295,2615164
2017-01-23,1190.300049,1224.000000,1172.000000,1202.000000,1117.874023,1229042
2017-01-30,1203.849976,1244.500000,1163.150024,1199.699951,1115.734863,2102320
2017-02-06,1206.800049,1206.800049,1086.099976,1090.000000,1013.712585,1736236
2017-02-13,1102.000000,1158.949951,1088.000000,1123.099976,1044.495972,2555150
2017-02-20,1127.599976,1144.800049,1110.050049,1140.449951,1060.631836,850261
2017-02-27,1143.650024,1163.550049,1110.199951,1115.500000,1037.428101,991722
2017-03-06,1120.000000,1123.650024,1085.800049,1091.150024,1014.782166,633787
2017-03-13,1091.150024,1134.000000,1091.150024,1118.900024,1040.590088,634159
2017-03-20,1125.000000,1232.000000,1116.000000,1218.300049,1133.033203,2231453
2017-03-27,1220.000000,1233.000000,1190.099976,1205.050049,1120.710693,783551
2017-04-03,1215.050049,1246.000000,1174.000000,1220.750000,1135.311890,1024553
2017-04-10,1233.150024,1258.849976,1206.000000,1210.099976,1125.406982,962882
2017-04-17,1214.199951,1214.199951,1118.000000,1122.099976,1043.565918,1515406
2017-04-24,1129.650024,1248.000000,1128.000000,1215.650024,1130.568726,3949225
2017-05-01,1215.650024,1220.199951,1100.000000,1120.500000,1042.078003,1830122
2017-05-08,1136.000000,1142.400024,1101.000000,1104.400024,1027.104980,1187696
2017-05-15,1108.000000,1113.000000,981.000000,992.200012,922.757568,2295935
2017-05-22,996.700012,1007.849976,930.099976,993.400024,923.873596,2256898
2017-05-29,995.000000,1019.750000,967.099976,1006.799988,936.335632,1198082
2017-06-05,1006.799988,1070.400024,1006.799988,1052.400024,978.744263,1315554
2017-06-12,1064.000000,1118.000000,1043.650024,1112.150024,1034.312378,3026028
2017-06-19,1115.900024,1135.000000,1071.000000,1080.949951,1005.296021,1630657
2017-06-26,1080.949951,1093.250000,1047.000000,1088.300049,1012.131714,816351
2017-07-03,1094.000000,1110.000000,1078.500000,1091.599976,1015.200684,956073
2017-07-10,1092.000000,1116.650024,1075.099976,1096.650024,1019.897278,1515918
2017-07-17,1098.000000,1136.500000,1086.599976,1127.750000,1048.820679,1212987
2017-07-24,1136.000000,1182.000000,1097.349976,1103.800049,1026.546997,1698455
2017-07-31,1104.000000,1130.000000,1090.000000,1118.750000,1040.450562,1393450
2017-08-07,1120.000000,1133.000000,1002.000000,1040.550049,967.723633,1284117
2017-08-14,1039.000000,1088.500000,1022.549988,1030.000000,957.911987,1312519
2017-08-21,1028.000000,1034.900024,980.099976,1022.000000,964.373718,1000784
2017-08-28,1023.599976,1080.699951,1023.599976,1071.250000,1010.846863,1071758
2017-09-04,1071.250000,1134.000000,1062.050049,1106.449951,1044.062012,1215986
2017-09-11,1109.000000,1153.000000,1092.599976,1100.300049,1038.258911,1002319
2017-09-18,1100.000000,1126.000000,1069.300049,1085.500000,1024.293335,869835
2017-09-25,1080.000000,1085.000000,999.099976,1039.150024,980.556824,1416552
2017-10-02,1039.150024,1078.449951,1039.150024,1063.699951,1003.722351,601095
2017-10-09,1070.000000,1159.800049,1058.849976,1133.550049,1069.634033,1932527
2017-10-16,1159.849976,1159.849976,1081.199951,1095.599976,1033.823730,1299883
2017-10-23,1090.250000,1111.900024,1030.699951,1067.400024,1007.213867,1612785
2017-10-30,1067.400024,1078.000000,1005.700012,1012.000000,954.937622,1549525
2017-11-06,1018.000000,1025.699951,952.500000,965.349976,910.917969,1274659
